2025-11-24T20:14:46.668-0800	[34mINFO[0m	config/config.go:302	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 2, "dht.deBruijn.fixInterval": "3s", "dht.deBruijn.fixIntervalMs": 3000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1s", "dht.faultTolerance.failureTimeoutMs": 1000, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4014, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8094, "cache.capacityMB": 256, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-24T20:14:46.714-0800	[34mINFO[0m	node	node/main.go:103	New Node initializing	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}}
2025-11-24T20:14:46.716-0800	[34mINFO[0m	node	node/main.go:124	initialized web cache	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "capacity_mb": 256}
2025-11-24T20:14:46.716-0800	[34mINFO[0m	node	node/main.go:131	initialized hotspot detector	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "threshold": 10, "decay_rate": 0.65}
2025-11-24T20:14:46.716-0800	[34mINFO[0m	node	node/main.go:185	Initialized Koorde node	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}}
2025-11-24T20:14:46.717-0800	[34mINFO[0m	node	node/main.go:261	resolved bootstrap peers	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "peers": ["localhost:4000"]}
2025-11-24T20:14:46.717-0800	[34mINFO[0m	node.http-server	server/http.go:93	HTTP cache server starting	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "addr": ":8094"}
2025-11-24T20:14:46.755-0800	[34mINFO[0m	node	logicnode/node.go:74	join: candidate successor found	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-24T20:14:46.759-0800	[34mINFO[0m	node	logicnode/node.go:105	join: successor has predecessor	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "predecessor": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-24T20:14:46.765-0800	[34mINFO[0m	node	logicnode/node.go:138	join: completed successfully	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "successor": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-24T20:14:46.766-0800	[34mINFO[0m	node	node/main.go:283	node registered successfully	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}}
2025-11-24T20:14:49.565-0800	[34mINFO[0m	node	logicnode/operation.go:541	Notify: predecessor updated	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "newPredecessor": {"addr":"localhost:4000","id":"0x004f424bb575238275"}, "oldPredecessor": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-24T20:14:49.863-0800	[34mINFO[0m	node	logicnode/operation.go:541	Notify: predecessor updated	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "newPredecessor": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}, "oldPredecessor": {"addr":"localhost:4000","id":"0x004f424bb575238275"}}
2025-11-24T20:14:50.131-0800	[34mINFO[0m	node	logicnode/operation.go:541	Notify: predecessor updated	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "newPredecessor": {"addr":"localhost:4012","id":"0x031fc8d8bfb65680aa"}, "oldPredecessor": {"addr":"localhost:4005","id":"0x016adf1cbc1f56bed2"}}
2025-11-24T20:15:02.405-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/delay/1", "hash": "0x020224d01ce6b3f21f", "responsible": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}, "lookup_latency_ms": 8}
2025-11-24T20:15:02.406-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/delay/1", "hash": "0x020224d01ce6b3f21f", "responsible_from_lookup": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}, "forward_target": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}}
2025-11-24T20:15:02.424-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/delay/1", "hash": "0x020224d01ce6b3f21f", "responsible": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}, "lookup_latency_ms": 1}
2025-11-24T20:15:02.425-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/delay/1", "hash": "0x020224d01ce6b3f21f", "responsible_from_lookup": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}, "forward_target": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}}
2025-11-24T20:15:02.518-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/delay/1", "hash": "0x020224d01ce6b3f21f", "responsible": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}, "lookup_latency_ms": 1}
2025-11-24T20:15:02.519-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/delay/1", "hash": "0x020224d01ce6b3f21f", "responsible_from_lookup": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}, "forward_target": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}}
2025-11-24T20:15:02.624-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/delay/1", "hash": "0x020224d01ce6b3f21f", "responsible": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}, "lookup_latency_ms": 1}
2025-11-24T20:15:02.625-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/delay/1", "hash": "0x020224d01ce6b3f21f", "responsible_from_lookup": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}, "forward_target": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}}
2025-11-24T20:15:03.096-0800	[34mINFO[0m	node.http-server	server/http.go:400	I am responsible, fetching from origin	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/base64/VGVzdCBtZXNzYWdl"}
2025-11-24T20:15:03.212-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/delay/1", "hash": "0x020224d01ce6b3f21f", "responsible": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}, "lookup_latency_ms": 1}
2025-11-24T20:15:03.212-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4014","id":"0x03532cc907496db765"}, "url": "https://httpbin.org/delay/1", "hash": "0x020224d01ce6b3f21f", "responsible_from_lookup": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}, "forward_target": {"addr":"localhost:4010","id":"0x0229fa4890cda12a6b"}}
